./lab6
current sum of generated num up to now is 0, adding 6 to it.
current sum of generated num up to now is 6, adding 8 to it.
current sum of generated num up to now is 14, adding 0 to it.
current sum of generated num up to now is 14, adding 1 to it.
current sum of generated num up to now is 15, adding 5 to it.
current sum of generated num up to now is 20, adding 9 to it.
current sum of generated num up to now is 29, adding 3 to it.
current sum of generated num up to now is 32, adding 3 to it.
current sum of generated num up to now is 35, adding 5 to it.
current sum of generated num up to now is 40, adding 0 to it.
current sum of generated num up to now is 40, adding 2 to it.
current sum of generated num up to now is 42, adding 6 to it.
current sum of generated num up to now is 48, adding 3 to it.
current sum of generated num up to now is 51, adding 7 to it.
current sum of generated num up to now is 58, adding 1 to it.
current sum of generated num up to now is 59, adding 6 to it.
current sum of generated num up to now is 65, adding 3 to it.
current sum of generated num up to now is 68, adding 4 to it.
current sum of generated num up to now is 72, adding 9 to it.
current sum of generated num up to now is 81, adding 0 to it.
current sum of generated num up to now is 81, adding 4 to it.
current sum of generated num up to now is 85, adding 5 to it.
current sum of generated num up to now is 90, adding 2 to it.
current sum of generated num up to now is 92, adding 9 to it.
current sum of generated num up to now is 101, adding 5 to it.
current sum of generated num up to now is 106, adding 1 to it.
current sum of generated num up to now is 107, adding 5 to it.
current sum of generated num up to now is 112, adding 8 to it.
current sum of generated num up to now is 120, adding 8 to it.
current sum of generated num up to now is 128, adding 4 to it.
current sum of generated num up to now is 132, adding 4 to it.
current sum of generated num up to now is 136, adding 4 to it.
current sum of generated num up to now is 140, adding 4 to it.
current sum of generated num up to now is 144, adding 7 to it.
current sum of generated num up to now is 151, adding 5 to it.
current sum of generated num up to now is 156, adding 1 to it.
current sum of generated num up to now is 157, adding 8 to it.
current sum of generated num up to now is 165, adding 0 to it.
current sum of generated num up to now is 165, adding 7 to it.
current sum of generated num up to now is 172, adding 3 to it.
current sum of generated num up to now is 175, adding 1 to it.
current sum of generated num up to now is 176, adding 9 to it.
current sum of generated num up to now is 185, adding 1 to it.
current sum of generated num up to now is 186, adding 4 to it.
current sum of generated num up to now is 190, adding 8 to it.
current sum of generated num up to now is 198, adding 2 to it.
current sum of generated num up to now is 200, adding 1 to it.
current sum of generated num up to now is 201, adding 3 to it.
current sum of generated num up to now is 204, adding 8 to it.
current sum of generated num up to now is 212, adding 2 to it.
current sum of generated num up to now is 214, adding 3 to it.
current sum of generated num up to now is 217, adding 2 to it.
current sum of generated num up to now is 219, adding 9 to it.
current sum of generated num up to now is 228, adding 7 to it.
current sum of generated num up to now is 235, adding 3 to it.
current sum of generated num up to now is 238, adding 4 to it.
current sum of generated num up to now is 242, adding 9 to it.
current sum of generated num up to now is 251, adding 9 to it.
current sum of generated num up to now is 260, adding 5 to it.
current sum of generated num up to now is 265, adding 7 to it.
current sum of generated num up to now is 272, adding 3 to it.
current sum of generated num up to now is 275, adding 1 to it.
current sum of generated num up to now is 276, adding 4 to it.
current sum of generated num up to now is 280, adding 9 to it.
current sum of generated num up to now is 289, adding 8 to it.
current sum of generated num up to now is 297, adding 9 to it.
current sum of generated num up to now is 306, adding 0 to it.
current sum of generated num up to now is 306, adding 6 to it.
current sum of generated num up to now is 312, adding 0 to it.
current sum of generated num up to now is 312, adding 7 to it.
current sum of generated num up to now is 319, adding 2 to it.
current sum of generated num up to now is 321, adding 3 to it.
current sum of generated num up to now is 324, adding 8 to it.
current sum of generated num up to now is 332, adding 5 to it.
current sum of generated num up to now is 337, adding 7 to it.
current sum of generated num up to now is 344, adding 9 to it.
current sum of generated num up to now is 353, adding 8 to it.
current sum of generated num up to now is 361, adding 8 to it.
current sum of generated num up to now is 369, adding 2 to it.
current sum of generated num up to now is 371, adding 8 to it.
current sum of generated num up to now is 379, adding 3 to it.
current sum of generated num up to now is 382, adding 6 to it.
current sum of generated num up to now is 388, adding 1 to it.
current sum of generated num up to now is 389, adding 2 to it.
current sum of generated num up to now is 391, adding 3 to it.
current sum of generated num up to now is 394, adding 6 to it.
current sum of generated num up to now is 400, adding 9 to it.
current sum of generated num up to now is 409, adding 4 to it.
current sum of generated num up to now is 413, adding 5 to it.
current sum of generated num up to now is 418, adding 4 to it.
current sum of generated num up to now is 422, adding 4 to it.
current sum of generated num up to now is 426, adding 8 to it.
current sum of generated num up to now is 434, adding 7 to it.
current sum of generated num up to now is 441, adding 8 to it.
current sum of generated num up to now is 449, adding 9 to it.
current sum of generated num up to now is 458, adding 6 to it.
current sum of generated num up to now is 464, adding 9 to it.
current sum of generated num up to now is 473, adding 0 to it.
current sum of generated num up to now is 473, adding 4 to it.
current sum of generated num up to now is 477, adding 1 to it.
current sum of generated num up to now is 478, adding 9 to it.
current sum of generated num up to now is 487, adding 8 to it.
current sum of generated num up to now is 495, adding 4 to it.
current sum of generated num up to now is 499, adding 0 to it.
current sum of generated num up to now is 499, adding 4 to it.
current sum of generated num up to now is 503, adding 2 to it.
current sum of generated num up to now is 505, adding 9 to it.
current sum of generated num up to now is 514, adding 4 to it.
current sum of generated num up to now is 518, adding 2 to it.
current sum of generated num up to now is 520, adding 1 to it.
current sum of generated num up to now is 521, adding 2 to it.
current sum of generated num up to now is 523, adding 5 to it.
current sum of generated num up to now is 528, adding 7 to it.
current sum of generated num up to now is 535, adding 5 to it.
current sum of generated num up to now is 540, adding 8 to it.
current sum of generated num up to now is 548, adding 3 to it.
current sum of generated num up to now is 551, adding 2 to it.
current sum of generated num up to now is 553, adding 9 to it.
current sum of generated num up to now is 562, adding 9 to it.
current sum of generated num up to now is 571, adding 7 to it.
current sum of generated num up to now is 578, adding 5 to it.
current sum of generated num up to now is 583, adding 3 to it.
current sum of generated num up to now is 586, adding 8 to it.
current sum of generated num up to now is 594, adding 2 to it.
current sum of generated num up to now is 596, adding 3 to it.
current sum of generated num up to now is 599, adding 9 to it.
current sum of generated num up to now is 608, adding 0 to it.
current sum of generated num up to now is 608, adding 3 to it.
current sum of generated num up to now is 611, adding 9 to it.
current sum of generated num up to now is 620, adding 5 to it.
current sum of generated num up to now is 625, adding 6 to it.
current sum of generated num up to now is 631, adding 1 to it.
current sum of generated num up to now is 632, adding 5 to it.
current sum of generated num up to now is 637, adding 1 to it.
current sum of generated num up to now is 638, adding 1 to it.
current sum of generated num up to now is 639, adding 9 to it.
current sum of generated num up to now is 648, adding 5 to it.
current sum of generated num up to now is 653, adding 2 to it.
current sum of generated num up to now is 655, adding 3 to it.
current sum of generated num up to now is 658, adding 7 to it.
current sum of generated num up to now is 665, adding 3 to it.
current sum of generated num up to now is 668, adding 8 to it.
current sum of generated num up to now is 676, adding 5 to it.
current sum of generated num up to now is 681, adding 3 to it.
current sum of generated num up to now is 684, adding 3 to it.
current sum of generated num up to now is 687, adding 5 to it.
current sum of generated num up to now is 692, adding 8 to it.
current sum of generated num up to now is 700, adding 7 to it.
current sum of generated num up to now is 707, adding 4 to it.
current sum of generated num up to now is 711, adding 7 to it.
current sum of generated num up to now is 718, adding 7 to it.
current sum of generated num up to now is 725, adding 9 to it.
current sum of generated num up to now is 734, adding 3 to it.
current sum of generated num up to now is 737, adding 5 to it.
current sum of generated num up to now is 742, adding 3 to it.
